 1  1 4.27923847E-01 3.79800951E-01-4.27923847E-01-3.79800951E-01 1.10927898E-14
 1  2-3.53159998E-15
 2  1 3.91643420E-01 3.19524557E-01 3.91643420E-01 3.19524557E-01 7.55706039E-02
 2  2 2.78316730E-02
 3  1 1.99047311E-01 7.66475072E-01 1.99047311E-01 7.66475072E-01-1.98126537E-01
 3  2-1.65531816E+00
 4  1 4.01164299E-02 1.17239126E-01 4.01164299E-02 1.17239126E-01-1.38828449E+00
 4  2 8.87742099E-01
 5  1-8.35867990E-01 9.51890231E-01 8.35867990E-01-9.51890231E-01-2.69497769E-14
 5  2-5.93432478E-15
 6  1 8.76496671E-01-1.53611994E+00 8.76496671E-01-1.53611994E+00 1.56326812E-01
 6  2 1.28050424E+00
